id,text,created_at,lang,retweet_count,reply_count,like_count,source,query,category,date,hour,day_of_week,cleaned_text,readable_text,entities,text_length,word_count,processed_date,vader_negative,vader_neutral,vader_positive,vader_compound,vader_sentiment,textblob_polarity,textblob_subjectivity,textblob_sentiment,dominant_topic,topic_probability
1000000000000000000,Just got the new iPhone 15 Pro Max and the camera is absolutely amazing! #iPhone,2025-03-24 17:54:36.956172+00:00,en,23,27,135,Twitter for Android,iPhone,iphone,2025-03-24,17,Monday,got new pro max camera absolutely amazing,just got the new iphone pro max and the camera is absolutely amazing iphone,"{'CARDINAL': ['15'], 'MONEY': ['iPhone']}",80,7,2025-03-24,0.0,0.761,0.239,0.6581,positive,0.4431818181818182,0.6772727272727272,positive,3,0.8717501759529114
1000000000000000001,Battery life on this iPhone is disappointing. Barely lasts half a day with normal use.,2025-03-24 15:54:36.956172+00:00,en,10,29,83,Twitter for Android,#iPhone,iphone,2025-03-24,15,Monday,battery life disappointing barely last half day normal use,battery life on this iphone is disappointing barely lasts half a day with normal use,"{'ORG': ['iPhone'], 'DATE': ['half a day']}",86,9,2025-03-24,0.186,0.814,0.0,-0.4939,negative,-0.1416666666666666,0.4041666666666666,negative,3,0.8059463500976562
1000000000000000002,Apple's iOS updates are so smooth. Love how my iPhone just works.,2025-03-24 13:54:36.956172+00:00,en,28,5,173,Twitter for iPhone,iPhone,iphone,2025-03-24,13,Monday,apple io update smooth love work,apples ios updates are so smooth love how my iphone just works,{'ORG': ['Apple']},65,6,2025-03-24,0.0,0.711,0.289,0.6682,positive,0.45,0.55,positive,3,0.8878021240234375
1000000000000000003,The iPhone display is gorgeous but I wish it didn't have that notch at the top.,2025-03-24 11:54:36.956172+00:00,en,47,17,88,Twitter for Android,Apple iPhone,iphone,2025-03-24,11,Monday,display gorgeous wish didnt notch top,the iphone display is gorgeous but i wish it didnt have that notch at the top,{'ORG': ['iPhone']},79,6,2025-03-24,0.0,0.612,0.388,0.8047,positive,0.6,0.7,positive,2,0.6248192191123962
1000000000000000004,iPhone prices are getting ridiculous. Is it really worth $1200 for a phone?,2025-03-24 09:54:36.956172+00:00,en,12,19,85,Twitter for Web,#iPhone,iphone,2025-03-24,9,Monday,price getting ridiculous really worth,iphone prices are getting ridiculous is it really worth for a phone,{'MONEY': ['1200']},75,5,2025-03-24,0.159,0.701,0.14,-0.079,negative,-0.0166666666666666,0.55,neutral,0,0.6224942207336426
1000000000000000005,Face ID on my new iPhone works perfectly even in low light. Great feature!,2025-03-24 07:54:36.956172+00:00,en,35,1,82,Twitter for Android,Apple iPhone,iphone,2025-03-24,7,Monday,face id new work perfectly even low light great feature,face id on my new iphone works perfectly even in low light great feature,{},74,10,2025-03-24,0.097,0.507,0.396,0.8172,positive,0.5072727272727272,0.6409090909090909,positive,1,0.803324282169342
1000000000000000006,The iPhone camera is incredible for night photography. Best phone camera I've used.,2025-03-24 05:54:36.956172+00:00,en,39,4,69,Twitter for Android,#iPhone,iphone,2025-03-24,5,Monday,camera incredible night photography best camera ive used,the iphone camera is incredible for night photography best phone camera ive used,{'TIME': ['night']},83,8,2025-03-24,0.0,0.741,0.259,0.6369,positive,0.95,0.6,positive,3,0.8460280895233154
1000000000000000007,iPhone storage fills up way too quickly. 128GB should be the minimum option.,2025-03-24 03:54:36.956172+00:00,en,37,25,53,Twitter for Android,#iPhone,iphone,2025-03-24,3,Monday,storage fill way quickly gb minimum option,iphone storage fills up way too quickly gb should be the minimum option,"{'CARDINAL': ['128'], 'PERSON': ['GB']}",76,7,2025-03-24,0.0,1.0,0.0,0.0,neutral,0.3333333333333333,0.5,positive,2,0.6248186826705933
1000000000000000008,Apple's build quality on the iPhone is second to none. This thing feels premium.,2025-03-24 01:54:36.956172+00:00,en,16,21,80,Twitter for Web,Apple iPhone,iphone,2025-03-24,1,Monday,apple build quality second none thing feel premium,apples build quality on the iphone is second to none this thing feels premium,"{'ORG': ['Apple', 'iPhone'], 'ORDINAL': ['second']}",80,8,2025-03-24,0.0,1.0,0.0,0.0,neutral,0.0,0.0,neutral,0,0.7448196411132812
1000000000000000009,iPhone performance is still great after a year of heavy use. Apple silicon is impressive.,2025-03-23 23:54:36.956172+00:00,en,37,3,173,Twitter for Web,Apple iPhone,iphone,2025-03-23,23,Sunday,performance still great year heavy use silicon impressive,iphone performance is still great after a year of heavy use apple silicon is impressive,"{'DATE': ['a year'], 'ORG': ['Apple']}",89,8,2025-03-24,0.0,0.637,0.363,0.8126,positive,0.5333333333333333,0.75,positive,1,0.8072105646133423
